query,vo,dataset_version,percentage,throughput
tpch_query03,vo1,jcch_unordered10,24.0,7018348.623853211
tpch_query03,vo1,jcch_unordered10,25.0,6830357.142857143
tpch_query03,vo1,jcch_unordered10,26.0,1830143.5406698566
tpch_query03,vo1,jcch_unordered10,27.0,7650000.0
tpch_query03,vo1,jcch_unordered10,28.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,29.0,7149532.710280374
tpch_query03,vo1,jcch_unordered10,30.0,6830357.142857143
tpch_query03,vo1,jcch_unordered10,31.0,7285714.285714285
tpch_query03,vo1,jcch_unordered10,32.0,7285714.285714285
tpch_query03,vo1,jcch_unordered10,33.0,7216981.132075472
tpch_query03,vo1,jcch_unordered10,34.0,7149532.710280374
tpch_query03,vo1,jcch_unordered10,35.0,6954545.454545455
tpch_query03,vo1,jcch_unordered10,36.0,3311688.311688312
tpch_query03,vo1,jcch_unordered10,37.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,38.0,1401098.901098901
tpch_query03,vo1,jcch_unordered10,39.0,7500000.0
tpch_query03,vo1,jcch_unordered10,40.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,41.0,7285714.285714285
tpch_query03,vo1,jcch_unordered10,42.0,6891891.891891892
tpch_query03,vo1,jcch_unordered10,43.0,8138297.872340426
tpch_query03,vo1,jcch_unordered10,44.0,8138297.872340426
tpch_query03,vo1,jcch_unordered10,45.0,8138297.872340426
tpch_query03,vo1,jcch_unordered10,46.0,7886597.93814433
tpch_query03,vo1,jcch_unordered10,47.0,6375000.0
tpch_query03,vo1,jcch_unordered10,48.0,7650000.0
tpch_query03,vo1,jcch_unordered10,49.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,50.0,7500000.0
tpch_query03,vo1,jcch_unordered10,51.0,7427184.466019417
tpch_query03,vo1,jcch_unordered10,52.0,7285714.285714285
tpch_query03,vo1,jcch_unordered10,53.0,973282.4427480916
tpch_query03,vo1,jcch_unordered10,54.0,5795454.545454545
tpch_query03,vo1,jcch_unordered10,55.0,6891891.891891892
tpch_query03,vo1,jcch_unordered10,56.0,7083333.333333333
tpch_query03,vo1,jcch_unordered10,57.0,7018348.623853211
tpch_query03,vo1,jcch_unordered10,58.0,6769911.504424779
tpch_query03,vo1,jcch_unordered10,59.0,6652173.913043478
tpch_query03,vo1,jcch_unordered10,60.0,6594827.586206897
tpch_query03,vo1,jcch_unordered10,61.0,6538461.538461538
tpch_query03,vo1,jcch_unordered10,62.0,5930232.558139536
tpch_query03,vo1,jcch_unordered10,63.0,6483050.847457627
tpch_query03,vo1,jcch_unordered10,64.0,6428571.428571428
tpch_query03,vo1,jcch_unordered10,65.0,6375000.0
tpch_query03,vo1,jcch_unordered10,66.0,6375000.0
tpch_query03,vo1,jcch_unordered10,67.0,6270491.803278688
tpch_query03,vo1,jcch_unordered10,68.0,6169354.838709677
tpch_query03,vo1,jcch_unordered10,69.0,6169354.838709677
tpch_query03,vo1,jcch_unordered10,70.0,5349650.3496503495
tpch_query03,vo1,jcch_unordered10,71.0,6071428.571428572
tpch_query03,vo1,jcch_unordered10,72.0,5976562.5
tpch_query03,vo1,jcch_unordered10,73.0,5930232.558139536
tpch_query03,vo1,jcch_unordered10,74.0,5751879.69924812
tpch_query03,vo1,jcch_unordered10,75.0,5666666.666666667
tpch_query03,vo1,jcch_unordered10,76.0,5839694.656488549
