rows,inserts,deletes,duration_ms
1732,1732,0,0.069263
173,173,0,0.19239
1,0,1,0.634548
6929,6929,0,0.282944
1732,1732,0,0.038884
173,173,0,0.177695
1,1,0,0.423254
6929,6929,0,0.351496
1732,1732,0,0.072948
173,173,0,0.348971
1,0,1,0.623629
6929,6929,0,0.294051
1732,1732,0,0.039017
173,173,0,0.177022
1,1,0,0.412113
6929,6929,0,0.29096
1732,1732,0,0.069272
173,173,0,0.186147
1,0,1,0.676722
6929,6929,0,0.29533
1732,1732,0,0.042128
173,173,0,0.201358
1,1,0,0.475828
6929,6929,0,0.304687
1732,1732,0,0.093183
173,173,0,0.197965
1,0,1,0.701806
6929,6929,0,0.292956
1732,1732,0,0.041208
173,173,0,0.178619
1,1,0,0.449035
6929,6929,0,0.320287
1732,1732,0,0.081032
173,173,0,0.188134
1,0,1,0.677679
6929,6929,0,0.297831
1732,1732,0,0.037923
173,173,0,0.194637
1,1,0,0.433931
6929,6929,0,0.291665
1732,1732,0,0.079382
173,173,0,0.190437
1,0,1,0.68424
6929,6929,0,0.291422
1732,1732,0,0.03664
173,173,0,0.182169
1,1,0,0.452884
6929,6929,0,0.301154
1732,1732,0,0.078557
173,173,0,0.192828
1,0,1,0.714681
6929,6929,0,0.292703
1732,1732,0,0.039468
173,173,0,0.182098
1,1,0,0.458858
6929,6929,0,0.30413
1732,1732,0,0.071562
173,173,0,0.19505
1,0,1,0.587681
6929,6929,0,0.298843
1732,1732,0,0.044794
173,173,0,0.176873
1,1,0,0.427073
6929,6929,0,0.31029
1732,1732,0,0.066962
173,173,0,0.194353
1,0,1,0.694716
6929,6929,0,0.295892
1732,1732,0,0.040241
173,173,0,0.176668
1,1,0,0.461174
6929,6929,0,0.294602
1732,1732,0,0.075904
173,173,0,0.194346
1,0,1,0.531374
6929,6929,0,0.298008
1732,1732,0,0.040976
173,173,0,0.174292
1,1,0,0.429679
6929,6929,0,0.292733
1732,1732,0,0.064105
173,173,0,0.189546
1,0,1,0.892202
6929,6929,0,0.312299
1732,1732,0,0.039824
173,173,0,0.189361
1,1,0,0.568736
6929,6929,0,0.316093
