rows,inserts,deletes,duration_ms
6929,6929,0,0.320027
1732,1732,0,0.053694
173,173,0,0.141837
6929,6929,0,0.314816
1732,1732,0,0.057298
173,173,0,0.149113
6929,6929,0,0.314754
1732,1732,0,0.059471
173,173,0,0.155129
6929,6929,0,0.3232
1732,1732,0,0.052047
173,173,0,0.144913
6929,6929,0,0.762402
1732,1732,0,0.057575
173,173,0,0.140523
6929,6929,0,0.316817
1732,1732,0,0.058891
173,173,0,0.148703
6929,6929,0,0.327971
1732,1732,0,0.052332
173,173,0,0.149081
6929,6929,0,0.317168
1732,1732,0,0.055919
173,173,0,0.152085
6929,6929,0,0.310125
1732,1732,0,0.056996
173,173,0,0.146826
6929,6929,0,0.319297
1732,1732,0,0.054662
173,173,0,0.155873
6929,6929,0,0.320623
1732,1732,0,0.054392
173,173,0,0.152902
6929,6929,0,0.3114
1732,1732,0,0.044329
173,173,0,0.151736
6929,6929,0,0.308647
1732,1732,0,0.057472
173,173,0,0.150939
6929,6929,0,0.324176
1732,1732,0,0.054242
173,173,0,0.153858
6929,6929,0,0.339765
1732,1732,0,0.051991
173,173,0,0.156904
6929,6929,0,0.313265
1732,1732,0,0.052074
173,173,0,0.160523
6929,6929,0,0.309004
1732,1732,0,0.063385
173,173,0,0.152584
6929,6929,0,0.324047
1732,1732,0,0.058657
173,173,0,0.150398
6929,6929,0,0.322712
1732,1732,0,0.058744
173,173,0,0.155411
6929,6929,0,0.324327
1732,1732,0,0.050996
173,173,0,0.151635
6929,6929,0,0.319397
1732,1732,0,0.059234
173,173,0,0.155997
6929,6929,0,0.318037
1732,1732,0,0.048596
173,173,0,0.148367
6929,6929,0,0.309577
1732,1732,0,0.053469
173,173,0,0.15369
6929,6929,0,0.330418
1732,1732,0,0.057265
173,173,0,0.15258
6929,6929,0,0.325048
1732,1732,0,0.056014
173,173,0,0.153184
6929,6929,0,0.324072
1732,1732,0,0.061079
173,173,0,0.151962
6929,6929,0,0.330469
1732,1732,0,0.052653
173,173,0,0.151979
6929,6929,0,0.309812
1732,1732,0,0.052419
173,173,0,0.153945
6929,6929,0,0.330641
1732,1732,0,0.056937
173,173,0,0.162729
6929,6929,0,0.323042
1732,1732,0,0.061881
173,173,0,0.152773
6929,6929,0,0.320221
1732,1732,0,0.057481
173,173,0,0.15103
6929,6929,0,0.344077
1732,1732,0,0.061426
173,173,0,0.16073
6929,6929,0,0.339733
1732,1732,0,0.056534
173,173,0,0.156498
6929,6929,0,0.331426
1732,1732,0,0.369717
173,173,0,0.155413
6929,6929,0,0.644431
1732,1732,0,0.055008
173,173,0,0.151133
6929,6929,0,0.311093
1732,1732,0,0.058542
173,173,0,0.151875
6929,6929,0,0.320582
1732,1732,0,0.050784
173,173,0,2.58531
6929,6929,0,0.344978
1732,1732,0,2.24725
173,173,0,0.156934
6929,6929,0,0.351452
1732,1732,0,0.060731
173,173,0,0.151581
6929,6929,0,0.347316
1732,1732,0,0.057905
173,173,0,0.144198
6929,6929,0,0.349878
1732,1732,0,0.056589
173,173,0,0.147764
6929,6929,0,0.350805
1732,1732,0,0.056983
173,173,0,0.155584
6929,6929,0,0.349396
1732,1732,0,0.051486
173,173,0,0.144217
6929,6929,0,0.340609
1732,1732,0,0.113956
173,173,0,0.149613
6929,6929,0,0.339448
1732,1732,0,0.045273
173,173,0,0.143383
6929,6929,0,0.344622
1732,1732,0,0.057052
173,173,0,0.152685
6929,6929,0,0.352838
1732,1732,0,0.054804
173,173,0,0.145784
